Wall time,Step,Value
1719906643.550894,1000,22.083600997924805
1719907177.4817564,5000,23.67509651184082
1719907508.1117582,7000,23.9703369140625
1719908099.6162748,10000,24.60826301574707
1719908688.6566803,15000,25.49395179748535
1719909362.9231505,20000,26.564510345458984
1719910006.3129947,25000,26.720401763916016
1719910675.10763,30000,26.71601104736328
