Wall time,Step,Value
0, 0, 4447742.0
1719835325.111843,1000,4481985.0
1719836297.5049117,5000,2375096.0
1719836783.6028554,7000,1591669.0
1719837271.5275867,10000,1245078.0
1719837932.3288305,15000,1282826.0
1719838995.4709582,20000,1282826.0
1719839743.3363478,25000,1282826.0
1719840581.0564861,30000,1282826.0
